Are COVID-19 vaccines being held to the same safety standards as other vaccines?,"COVID-19 vaccines are held to the same safety standards as all other vaccines in the U.S. These vaccines were reviewed by the federal government and the state of California to ensure safety and effectiveness. The FDA, CDC, and ACIP have all evaluated the trial information and determined the vaccines to be safe, effective, and of high quality.


Vaccines must go through a rigorous 3-phase testing and inspection before FDA authorization:

Phase 1: The vaccine is tested in a small number of generally healthy adults, usually between 20 and 80 people. It’s evaluated for safety, dosage, and any side effects. Experts also look at what type of immune response is created.

Phase 2: If there are no safety concerns from Phase I studies, the vaccine is given in various dosages to hundreds of adults who may have a variety of health issues and come from different backgrounds to make sure it is safe. These studies provide additional safety information on common short-term side effects and risks, examine the relationship between the dose given and the immune response, and may provide initial information regarding the effectiveness of the vaccine.

Phase 3: Experts broaden the study to include thousands of adults, from a variety of ages and backgrounds. They see how many people who got the vaccine were protected from the disease, compared to those who received a placebo.

After a vaccine is authorized by the FDA and made available to the public, experts are continuing to monitor the safety of COVID-19 vaccines to make sure even very rare side effects are identified and appropriate precautions are taken.


None of the normal steps in the vaccine vetting process were skipped in order to quickly develop these vaccines. Rapid development was possible because:

1. manufacturing started while the clinical trials were still underway (normally manufacturing doesn’t begin until after completion of the trials)
2. mRNA vaccines are faster to produce than other kinds of vaccines
3. FDA and CDC were and are prioritizing the review process for COVID-19 vaccines
4. researchers used existing clinical trial networks to quickly begin conducting the COVID vaccine trials."
Are COVID-19 vaccines safe?,"COVID-19 vaccines are held to the same safety standards as all other vaccines in the U.S. These vaccines were reviewed by the federal government and the state of California to ensure safety and effectiveness. The FDA, CDC, and ACIP have all evaluated the trial information and determined the vaccines to be safe, effective, and of high quality.


Vaccines must go through a rigorous 3-phase testing and inspection before FDA authorization:

Phase 1: The vaccine is tested in a small number of generally healthy adults, usually between 20 and 80 people. It’s evaluated for safety, dosage, and any side effects. Experts also look at what type of immune response is created.

Phase 2: If there are no safety concerns from Phase I studies, the vaccine is given in various dosages to hundreds of adults who may have a variety of health issues and come from different backgrounds to make sure it is safe. These studies provide additional safety information on common short-term side effects and risks, examine the relationship between the dose given and the immune response, and may provide initial information regarding the effectiveness of the vaccine.

Phase 3: Experts broaden the study to include thousands of adults, from a variety of ages and backgrounds. They see how many people who got the vaccine were protected from the disease, compared to those who received a placebo.

After a vaccine is authorized by the FDA and made available to the public, experts are continuing to monitor the safety of COVID-19 vaccines to make sure even very rare side effects are identified and appropriate precautions are taken.


None of the normal steps in the vaccine vetting process were skipped in order to quickly develop these vaccines. Rapid development was possible because:

1. manufacturing started while the clinical trials were still underway (normally manufacturing doesn’t begin until after completion of the trials)
2. mRNA vaccines are faster to produce than other kinds of vaccines
3. FDA and CDC were and are prioritizing the review process for COVID-19 vaccines
4. researchers used existing clinical trial networks to quickly begin conducting the COVID vaccine trials."
Are mRNA vaccines safe?,"Yes. mRNA vaccines have been in development for years and have been proven to be safe and effective. They build immune protection by copying the shape of the virus without actually including a piece of the virus itself.


mRNA stands for messenger ribonucleic acid and can most easily be described as instructions for how to make a protein, or even just a piece of a protein.


mRNA is not able to alter our genetic makeup (DNA). The mRNA from a COVID-19 vaccine does not affect or interact with our DNA in any way. Instead, COVID-19 vaccines that use mRNA work with the body’s natural defenses to safely develop immunity to disease."
Are the county operated mass vaccination sites ADA compliant?,"Yes, all of the County Health System vaccination sites are ADA compliant."
Can children be vaccinated?,"No. The Pfizer-BioNTech COVID-19 vaccine is only authorized for administration in patients aged 16 years and older. The Moderna and Janssen/J&J vaccines are only authorized in patients aged 18 years and older. Clinical trials are underway for children, but at this point there is no vaccine approved for children."
Can I choose which COVID-19 vaccine I get?,"Depending on where you receive the vaccine, you may or may not be able to choose which vaccine to get. All authorized vaccines are equally effective at preventing severe COVID, you will get whichever vaccine is available in your area, unless your doctor has a specific recommendation for you based on your personal history, and the sooner you get protected, the sooner you will help prevent generation and spread of variants. It’s possible that in the coming months, as production increases and more vaccines get approved for use, that people will have options for which shot to get.

You’ll get a card or fact sheet at your vaccination site that will tell you about the vaccine and help you understand the details. Your card will tell you which kind of vaccine you get and when to get the second dose, if applicable."
Can I choose which vaccine I receive?,"Depending on where you receive the vaccine, you may or may not be able to choose which vaccine to get. All authorized vaccines are equally effective at preventing severe COVID, you will get whichever vaccine is available in your area, unless your doctor has a specific recommendation for you based on your personal history, and the sooner you get protected, the sooner you will help prevent generation and spread of variants. It’s possible that in the coming months, as production increases and more vaccines get approved for use, that people will have options for which shot to get.

You’ll get a card or fact sheet at your vaccination site that will tell you about the vaccine and help you understand the details. Your card will tell you which kind of vaccine you get and when to get the second dose, if applicable."
Can I contract COVID-19 after I'm vaccinated?,"We have strong evidence that being vaccinated will prevent you from getting severely ill and dying from COVID-19. There may be a small chance that you can still get an asymptomatic infection or mild illness, but growing evidence suggests that being vaccinated makes this possibility much less likely than if you were never vaccinated.

It’s important to keep in mind that it typically takes a few weeks for the body to build immunity after vaccination. That means it is possible a person could contract COVID-19 shortly after vaccination and get sick because the vaccine has not had enough time to provide protection."
Can I get vaccinated against COVID-19 while I am currently sick with COVID-19?,No. People with COVID-19 who have symptoms should wait to be vaccinated until they have recovered from their illness and have met the criteria for discontinuing isolation; those without symptoms should also wait until they meet the criteria before getting vaccinated. This guidance also applies to people who get COVID-19 before getting their second dose of vaccine.
Can I get vaccinated if I have an underlying medical condition?,"Yes!

Patients with underlying medical conditions are at increased risk of having severe COVID-19 illness, and the vaccine can offer protection.

Talk with your health care provider."
Could I have an allergic reaction?,"Severe allergic reactions to vaccines are extremely rare. The FDA says the authorized COVID-19 vaccines appear to be safe for people with common food or environmental allergies.


CDC recommends that people get vaccinated even if they have a history of severe allergic reactions not related to vaccines or injectable medications—such as food, pet, venom, environmental, or latex allergies. People with a history of allergies to oral medications or a family history of severe allergic reactions may also get vaccinated.


If you have had an immediate allergic reaction — even if it was not severe — to a vaccine or injectable therapy for another disease, ask your doctor if you should get a COVID-19 vaccine. Your doctor will help you decide if it is safe for you to get vaccinated.


All people who get a COVID-19 vaccine should be monitored on site. People who have had severe allergic reactions or who have had any type of immediate allergic reaction to a vaccine or injectable therapy should be monitored for at least 30 minutes after getting the vaccine. All other people should be monitored for at least 15 minutes after getting the vaccine."
